type,beds,bath,propertysqft,locality,sublocality,label
Townhouse_for_sale,6,6,4917,New_York,New_York_County,1
Multi_family_home_for_sale,8,6,3472,New_York,Queens_County,1
Pending,1,1,630,Kings_County,Brooklyn,0
Townhouse_for_sale,6,3,2385,New_York,Kings_County,1
Multi_family_home_for_sale,5,2,1550,New_York,Queens_County,0
House_for_sale,5,4,3427,New_York,Richmond_County,1
Multi_family_home_for_sale,3,2,2240,New_York,Kings_County,1
Multi_family_home_for_sale,5,3,2080,New_York,Richmond_County,0
Co_op_for_sale,3,1,1050,Kings_County,Brooklyn,0
Co_op_for_sale,3,2,1100,Bronx_County,The_Bronx,0
House_for_sale,4,4,3500,New_York,Richmond_County,1
Pending,2,2,955,New_York_County,New_York,1
Pending,2,2,1572,Kings_County,Brooklyn,1
Condo_for_sale,3,2,1887,New_York,Kings_County,1
Foreclosure,2,2,800,New_York,Richmond_County,0
House_for_sale,4,1,1152,New_York,Richmond_County,0
Multi_family_home_for_sale,9,5,4320,New_York,Kings_County,1
Pending,2,2,1100,New_York_County,New_York,1
Contingent,2,1,900,Richmond_County,Staten_Island,0
House_for_sale,3,2,1620,New_York,Bronx_County,0
Condo_for_sale,1,2,704,Bronx_County,The_Bronx,0
Co_op_for_sale,3,2,1100,New_York,Queens_County,0
House_for_sale,4,3,2052,New_York,Richmond_County,1
Foreclosure,3,3,2550,New_York,Richmond_County,0
Condo_for_sale,3,2,1200,Queens_County,Queens,0
Foreclosure,4,3,3098,New_York,Richmond_County,0
House_for_sale,4,2,1196,New_York,Richmond_County,0
Contingent,2,1,1200,New_York,Richmond_County,0
House_for_sale,3,4,1440,New_York,Richmond_County,0
Townhouse_for_sale,7,9,12300,New_York,New_York_County,1
House_for_sale,4,2,2200,New_York,Kings_County,0
Co_op_for_sale,2,1,600,New_York_County,New_York,0
House_for_sale,4,3,2364,New_York,Queens_County,1
House_for_sale,4,2,2200,New_York,Kings_County,0
House_for_sale,4,3,2364,New_York,Queens_County,1
House_for_sale,3,4,2208,New_York,Richmond_County,0
House_for_sale,2,1,1130,New_York_County,New_York,0
Co_op_for_sale,2,1,600,Bronx_County,The_Bronx,0
Co_op_for_sale,2,1,950,Bronx_County,The_Bronx,0
Multi_family_home_for_sale,9,8,2961,New_York,Kings_County,1
Condo_for_sale,4,3,2000,New_York_County,New_York,1
Condo_for_sale,6,6,6569,New_York_County,New_York,1
Pending,3,1,1176,New_York,Richmond_County,0
Multi_family_home_for_sale,6,3,2202,New_York,Bronx_County,0
Co_op_for_sale,2,1,798,Queens_County,Queens,0
Townhouse_for_sale,10,13,8750,New_York,New_York_County,1
House_for_sale,3,2,1440,New_York,Richmond_County,0
House_for_sale,3,2,950,New_York,Queens_County,1
Condo_for_sale,4,4,2400,New_York,Queens_County,0
Co_op_for_sale,2,1,850,Bronx_County,The_Bronx,0
Multi_family_home_for_sale,3,2,1445,United_States,New_York,0
Multi_family_home_for_sale,6,3,1952,New_York,Bronx_County,0
House_for_sale,4,2,2050,New_York,Queens_County,1
House_for_sale,6,5,6300,New_York,Richmond_County,1
House_for_sale,4,2,1700,New_York,Queens_County,1
Foreclosure,4,2,1428,New_York,Kings_County,0
House_for_sale,4,4,2400,New_York,Richmond_County,0
Contingent,4,4,4803,New_York,Richmond_County,1
Townhouse_for_sale,4,4,3750,New_York,New_York_County,1
Co_op_for_sale,3,2,1750,New_York_County,New_York,0
Multi_family_home_for_sale,6,3,2464,New_York,Bronx_County,0
House_for_sale,3,4,3750,New_York,Richmond_County,1
House_for_sale,4,2,2570,New_York,Kings_County,1
Multi_family_home_for_sale,3,4,2450,New_York,Richmond_County,1
Co_op_for_sale,2,1,850,Bronx_County,The_Bronx,0
House_for_sale,2,2,1350,New_York,Bronx_County,0
Multi_family_home_for_sale,4,3,1980,New_York,Kings_County,0
Townhouse_for_sale,2,2,2000,New_York,New_York_County,1
House_for_sale,4,4,1820,New_York,Queens_County,1
Co_op_for_sale,2,1,950,Kings_County,Brooklyn,0
Condo_for_sale,3,1,550,Richmond_County,Staten_Island,0
Co_op_for_sale,3,1,640,New_York_County,New_York,0
House_for_sale,3,2,1987,New_York,Richmond_County,0
Multi_family_home_for_sale,6,2,3144,New_York,Kings_County,1
Co_op_for_sale,3,1,550,New_York_County,New_York,0
Townhouse_for_sale,5,3,2288,New_York,Kings_County,0
House_for_sale,2,2,950,New_York,Queens_County,0
House_for_sale,5,4,2000,New_York,Queens_County,1
House_for_sale,4,3,1400,New_York,Kings_County,1
Condo_for_sale,1,1,554,Queens_County,Queens,0
Condo_for_sale,2,2,965,United_States,New_York,1
Multi_family_home_for_sale,5,2,2624,New_York,Richmond_County,0
Multi_family_home_for_sale,3,4,2024,New_York,Richmond_County,0
Co_op_for_sale,1,1,375,New_York_County,New_York,0
House_for_sale,4,2,1355,New_York,Queens_County,0
House_for_sale,4,2,2625,New_York,Queens_County,0
Contingent,3,2,1188,New_York,Richmond_County,0
Condo_for_sale,1,1,514,Kings_County,Brooklyn,0
Townhouse_for_sale,5,5,4057,New_York,Kings_County,1
Co_op_for_sale,2,2,1549,Queens_County,Queens,0
Multi_family_home_for_sale,5,2,2375,New_York,Kings_County,1
Condo_for_sale,2,3,1260,New_York,New_York_County,0
Condo_for_sale,2,3,1724,New_York_County,New_York,1
Townhouse_for_sale,4,2,1330,New_York,Kings_County,0
House_for_sale,4,2,1640,New_York,Richmond_County,0
Co_op_for_sale,1,1,850,Queens_County,Queens,0
House_for_sale,4,2,2230,New_York,Richmond_County,0
Contingent,3,3,1860,New_York,Richmond_County,0
House_for_sale,3,2,1325,New_York,Kings_County,0
House_for_sale,4,4,2720,New_York,Richmond_County,1
House_for_sale,4,4,2394,New_York,Queens_County,1
Condo_for_sale,2,2,1766,Queens_County,Queens,0
Co_op_for_sale,1,1,650,Bronx_County,The_Bronx,0
Co_op_for_sale,2,1,900,Bronx_County,The_Bronx,0
Condo_for_sale,3,2,1034,New_York,Bronx_County,0
Co_op_for_sale,3,1,622,New_York_County,New_York,0
Co_op_for_sale,3,2,2200,New_York_County,New_York,1
Multi_family_home_for_sale,5,3,1480,New_York,Queens_County,0
Pending,2,2,960,Kings_County,Brooklyn,0
Pending,3,2,1474,Kings_County,Brooklyn,0
House_for_sale,6,3,2280,Kings_County,Brooklyn,0
Townhouse_for_sale,6,6,6000,New_York,Kings_County,1
House_for_sale,2,2,953,New_York,Richmond_County,0
Co_op_for_sale,2,1,800,Kings_County,Brooklyn,0
Co_op_for_sale,4,2,1800,Queens_County,Queens,1
House_for_sale,5,4,4000,Bronx_County,The_Bronx,1
Condo_for_sale,2,2,900,Queens_County,Queens,0
Condo_for_sale,5,4,4373,New_York_County,New_York,1
Condo_for_sale,3,2,1360,Kings_County,Brooklyn,0
Condo_for_sale,2,2,993,Queens_County,Queens,0
House_for_sale,5,2,2184,New_York,Richmond_County,0
Condo_for_sale,3,1,750,New_York_County,New_York,1
House_for_sale,3,2,2905,New_York,Bronx_County,1
House_for_sale,6,3,1344,New_York,Richmond_County,0
Co_op_for_sale,2,1,960,Bronx_County,The_Bronx,0
Condo_for_sale,1,1,750,New_York_County,New_York,0
House_for_sale,5,4,2452,New_York,Richmond_County,1
Townhouse_for_sale,3,2,1912,New_York,Bronx_County,0
